species,cultural_service_charismatic_species,ecotourism,carrion_control,pollination,top_down_regulation,seed_dispersal,pest_and_disease_control,nutrient_transporting_horizontal_and_vertical,ecosystem_engineering,rodent_control,disease_sentinelling
Oligoryzomys rupestris,0,0,0,0,0,1,0,0,0,0,0
Oligoryzomys stramineus,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus amazonicus,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus angularis,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus caparoae,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus dasytrichus,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus delator,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus hispidus,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus nasutus,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus quaestor,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus roberti,0,0,0,0,0,0,0,0,0,0,0
Oxymycterus rufus,0,0,0,0,0,0,0,0,0,0,0
Ozotoceros bezoarticus,1,0,0,0,0,0,0,1,0,0,0
Panthera onca,1,1,0,0,1,0,0,1,0,0,1
Pecari tajacu,0,0,0,0,0,1,0,1,1,0,1
Peropteryx kappleri,0,0,0,0,0,0,1,0,0,0,0
Peropteryx leucoptera,0,0,0,0,0,0,1,0,0,0,0
Peropteryx macrotis,0,0,0,0,0,0,1,0,0,0,0
Peropteryx pallidoptera,0,0,0,0,0,0,1,1,0,0,0
Phaenomys ferrugineus,0,0,0,0,0,0,0,0,0,0,0
Philander andersoni,0,0,0,0,0,0,0,0,0,0,0
Philander frenatus,0,0,0,0,0,1,1,0,0,0,0
Philander mcilhennyi,0,0,0,0,0,1,1,0,0,0,0
Philander opossum,0,0,0,0,0,0,0,0,0,0,0
Phylloderma stenops,0,0,0,0,0,1,0,0,0,0,0
Phyllomys blainvillii,0,0,0,0,0,1,0,0,0,0,0
Phyllomys brasiliensis,0,0,0,0,0,1,0,0,0,0,0
Phyllomys dasythrix,0,0,0,0,0,1,0,0,0,0,0
Phyllomys kerri,0,0,0,0,0,1,0,0,0,0,0
Phyllomys lamarum,0,0,0,0,0,1,0,0,0,0,0
Phyllomys lundi,0,0,0,0,0,1,0,0,0,0,0
Phyllomys mantiqueirensis,0,0,0,0,0,1,0,0,0,0,0
Phyllomys medius,0,0,0,0,0,1,0,0,0,0,0
Phyllomys nigrispinus,0,0,0,0,0,1,0,0,0,0,0
Phyllomys pattoni,0,0,0,0,0,1,0,0,0,0,0
Phyllomys sulinus,0,0,0,0,0,1,0,0,0,0,0
Phyllomys thomasi,0,0,0,0,0,1,0,0,0,0,0
Phyllomys unicolor,0,0,0,0,0,1,0,0,0,0,0
Phyllostomus discolor,0,0,0,1,0,1,0,0,0,0,0
Phyllostomus elongatus,0,0,0,1,0,1,0,0,0,0,0
Phyllostomus hastatus,0,0,0,1,0,1,0,0,0,0,0
Phyllostomus latifolius,0,0,0,1,0,1,0,0,0,0,0
Pithecia albicans,1,0,0,0,0,1,0,0,0,0,0
Pithecia cazuzai,1,0,0,0,0,1,0,0,0,0,0
Pithecia chrysocephala,1,0,0,0,0,1,0,0,0,0,0
Pithecia hirsuta,1,0,0,0,0,1,0,0,0,0,0
Pithecia inusta,1,0,0,0,0,1,0,0,0,0,0
Pithecia mittermeieri,1,0,0,0,0,1,0,0,0,0,0
Pithecia monachus,1,0,0,0,0,1,0,0,0,0,0
Pithecia pissinattii,1,0,0,0,0,1,0,0,0,0,0
Pithecia pithecia,1,0,0,0,0,1,0,0,0,0,0
Pithecia rylandsi,1,0,0,0,0,1,0,0,0,0,0
Pithecia vanzolinii,1,0,0,0,0,1,0,0,0,0,0
Platyrrhinus brachycephalus,0,0,0,0,0,1,0,0,0,0,0
Platyrrhinus fusciventris,0,0,0,0,0,1,0,0,0,0,0
Platyrrhinus incarum,0,0,0,0,0,1,0,0,0,0,0
Platyrrhinus infuscus,0,0,0,0,0,1,0,0,0,0,0
Platyrrhinus lineatus,0,0,0,1,0,1,0,0,0,0,0
Platyrrhinus recifinus,0,0,0,1,0,1,0,0,0,0,0
Plecturocebus baptista,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus bernhardi,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus brunneus,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus caligatus,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus cinerascens,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus cupreus,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus donacophilus,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus dubius,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus grovesi,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus hoffmannsi,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus miltoni,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus moloch,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus pallescens,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus parecis,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus stephennashi,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus toppini,1,0,0,0,0,1,0,0,0,0,0
Plecturocebus vieirai,1,0,0,0,0,1,0,0,0,0,0
Podoxymys roraimae,0,0,0,0,0,0,1,0,0,0,0
Potos flavus,1,0,0,0,0,1,0,0,0,0,0
Priodontes maximus,1,0,0,0,0,1,1,1,1,0,0
Procyon cancrivorus,1,0,0,0,0,1,0,0,0,0,1
Proechimys brevicauda,0,0,0,0,0,0,0,0,0,0,0
Proechimys cuvieri,0,0,0,0,0,0,0,0,0,0,0
Proechimys echinothrix,0,0,0,0,0,0,0,0,0,0,0
Proechimys gardneri,0,0,0,0,0,0,0,0,0,0,0
Proechimys goeldii,0,0,0,0,0,0,0,0,0,0,0
Proechimys guyannensis,0,0,0,0,0,0,0,0,0,0,1
Proechimys hoplomyoides,0,0,0,0,0,0,0,0,0,0,0
Proechimys kulinae,0,0,0,0,0,0,0,0,0,0,0
Proechimys longicaudatus,0,0,0,0,0,0,0,0,0,0,0
Proechimys pattoni,0,0,0,0,0,0,0,0,0,0,0
Proechimys quadruplicatus,0,0,0,0,0,0,0,0,0,0,0
Proechimys roberti,0,0,0,0,0,0,0,0,0,0,0
Proechimys simonsi,0,0,0,0,0,0,0,0,0,0,0
Proechimys steerei,0,0,0,0,0,0,0,0,0,0,0
Promops centralis,0,0,0,0,0,0,1,0,0,0,0
Promops nasutus,0,0,0,0,0,0,1,0,0,0,0
Pseudoryzomys simplex,0,0,0,0,0,0,0,0,0,0,0
Pteronotus gymnonotus,0,0,0,0,0,0,1,0,0,0,0
Pteronotus personatus,0,0,0,0,0,0,1,0,0,0,0
Pteronotus rubiginosus,0,0,0,0,0,0,1,1,0,0,0
Puma concolor,1,1,0,0,1,1,0,1,0,0,0
Pygoderma bilabiatum,0,0,0,0,0,1,0,0,0,0,0
Reithrodon typicus,0,0,0,0,0,0,0,0,0,0,0
Rhagomys rufescens,0,0,0,0,0,0,0,0,0,0,0
Rhinophylla fischerae,0,0,0,0,0,1,0,0,0,0,0
Rhinophylla pumilio,0,0,0,1,0,1,0,0,0,0,0
Rhipidomys cariri,0,0,0,0,0,0,0,0,0,0,0
Rhipidomys emiliae,0,0,0,0,0,0,0,0,0,0,0
Rhipidomys gardneri,0,0,0,0,0,0,0,0,0,0,1
Rhipidomys ipukensis,0,0,0,0,0,0,0,0,0,0,0
Rhipidomys itoan,0,0,0,0,0,0,0,0,0,0,1
Rhipidomys leucodactylus,0,0,0,0,0,0,0,0,0,0,1
Rhipidomys macconnelli,0,0,0,0,0,0,0,0,0,0,0
Rhipidomys macrurus,0,0,0,0,0,0,0,0,0,0,1
Rhipidomys mastacalis,0,0,0,0,0,0,0,0,0,0,0
Rhipidomys nitela,0,0,0,0,0,0,0,0,0,0,0
Rhipidomys tribei,0,0,0,0,0,0,0,0,0,0,0
Rhipidomys wetzeli,0,0,0,0,0,0,0,0,0,0,0
Rhogeessa hussoni,0,0,0,0,0,0,1,0,0,0,1
Rhogeessa io,0,0,0,0,0,0,1,0,0,0,0
Rhynchonycteris naso,0,0,0,0,0,0,1,0,0,0,0
Saccopteryx bilineata,0,0,0,0,0,0,1,0,0,0,0
Saccopteryx canescens,0,0,0,0,0,0,1,0,0,0,0
Saccopteryx gymnura,0,0,0,0,0,0,1,0,0,0,0
Saccopteryx leptura,0,0,0,0,0,0,1,0,0,0,0
Saguinus bicolor,1,0,0,0,0,1,0,0,0,0,0
Saguinus imperator,1,0,0,0,0,1,0,0,0,0,0
Saguinus inustus,1,0,0,0,0,1,0,0,0,0,0
Saguinus labiatus,1,0,0,0,0,1,0,0,0,0,0
Saguinus martinsi,1,0,0,0,0,1,0,0,0,0,0
Saguinus melanoleucus,1,0,0,0,0,1,0,0,0,0,0
Saguinus midas,1,0,0,0,0,1,0,0,0,0,0
Saguinus mystax,1,0,0,0,0,1,0,0,0,0,0
Saguinus niger,1,0,0,0,0,1,0,0,0,0,0
Saguinus ursulus,1,0,0,0,0,1,0,0,0,0,0
Saimiri boliviensis,1,0,0,0,0,1,0,0,0,0,0
Saimiri cassiquiarensis,1,0,0,0,0,1,0,0,0,0,0
Saimiri collinsi,1,0,0,0,0,1,0,0,0,0,0
Saimiri sciureus,1,1,0,0,0,1,0,0,0,0,0
Saimiri ustus,1,0,0,0,0,1,0,0,0,0,0
Saimiri vanzolinii,1,0,0,0,0,1,0,0,0,0,0
Sapajus apella,1,0,0,0,0,1,0,0,0,0,1
Sapajus cay,1,0,0,0,0,1,0,0,0,0,0
Sapajus flavius,1,0,0,0,0,1,0,0,0,0,0
Sapajus libidinosus,1,0,0,0,0,1,0,0,0,0,0
Sapajus nigritus,1,0,0,1,0,1,0,0,0,0,0
Sapajus robustus,1,0,0,0,0,1,0,0,0,0,0
Sapajus xanthosternos,1,0,0,0,0,1,0,0,0,0,0
Scapteromys tumidus,0,0,0,0,0,0,1,0,0,0,0
Sciurillus pusillus,1,0,0,0,0,1,0,0,0,0,0
Sciurus aestuans,1,0,0,0,0,1,0,0,0,0,0
Sciurus gilvigularis,1,0,0,0,0,1,0,0,0,0,0
Sciurus ignitus,1,0,0,0,0,1,0,0,0,0,0
Sciurus igniventris,1,0,0,0,0,1,0,0,0,0,0
Sciurus spadiceus,1,0,0,0,0,1,0,0,0,0,0
Scleronycteris ega,0,0,0,1,0,1,0,0,0,0,0
Scolomys ucayalensis,0,0,0,0,0,0,0,0,0,0,0
Sigmodon alstoni,0,0,0,0,0,0,0,0,0,0,0
Sooretamys angouya,0,0,0,0,0,0,0,0,0,0,0
Speothos venaticus,0,0,0,0,0,0,0,0,0,1,1
Sphaeronycteris toxophyllum,0,0,0,0,0,1,0,0,0,0,0
Sturnira lilium,0,0,0,1,0,1,1,0,0,0,0
Sturnira magna,0,0,0,0,0,1,0,0,0,0,0
Sturnira tildae,0,0,0,0,0,1,0,0,0,0,0
Sylvilagus brasiliensis,1,0,0,0,0,0,0,0,0,0,0
Sylvilagus tapetillus,1,0,0,0,0,0,0,0,0,0,0
Tadarida brasiliensis,0,0,0,0,0,0,1,0,0,0,1
Tamandua tetradactyla,1,0,0,0,0,0,0,0,0,0,1
Tapirus terrestris,1,1,0,0,0,1,0,1,0,0,1
Tayassu pecari,0,0,0,0,0,1,0,1,1,0,1
Thalpomys cerradensis,0,0,0,0,0,0,0,0,0,0,0
Thalpomys lasiotis,0,0,0,0,0,0,0,0,0,0,0
Thaptomys nigrita,0,0,0,0,0,0,1,0,0,0,0
Thrichomys apereoides,0,0,0,0,0,0,0,0,0,0,1
Thrichomys inermis,0,0,0,0,0,1,0,0,0,0,0
Thrichomys laurentius,0,0,0,0,0,1,0,0,0,0,0
Thrichomys pachyurus,0,0,0,0,0,1,0,0,0,0,0
Thylamys karimii,0,0,1,0,0,0,1,0,0,0,0
Thylamys macrurus,0,0,0,0,0,0,1,0,0,0,0
Thylamys velutinus,0,0,0,0,0,0,1,0,0,0,0
Thyroptera devivoi,0,0,0,0,0,0,1,0,0,0,0
Thyroptera discifera,0,0,0,0,0,0,1,0,0,0,0
Thyroptera lavali,0,0,0,0,0,0,1,0,0,0,0
Thyroptera tricolor,0,0,0,0,0,0,1,0,0,0,0
Thyroptera wynneae,0,0,0,0,0,0,1,1,0,0,0
Tolypeutes matacus,1,0,0,0,0,1,1,1,1,0,1
Tolypeutes tricinctus,1,0,0,0,0,1,1,1,1,0,0
Tonatia bidens,0,0,0,0,0,1,0,0,0,0,0
Tonatia saurophila,0,0,0,0,0,1,0,0,0,0,0
Toromys grandis,0,0,0,0,0,0,0,0,0,0,0
Trachops cirrhosus,0,0,0,0,0,1,1,0,0,0,0
Trinomys albispinus,0,0,0,0,0,0,0,0,0,0,0
Trinomys dimidiatus,0,0,0,0,0,0,0,0,0,0,0
Trinomys eliasi,0,0,0,0,0,0,0,0,0,0,0
Trinomys gratiosus,0,0,0,0,0,1,0,0,0,0,0
Trinomys iheringi,0,0,0,0,0,1,0,0,0,0,0
Trinomys mirapitanga,0,0,0,0,0,0,0,0,0,0,0
Trinomys moojeni,0,0,0,0,0,0,0,0,0,0,0
Trinomys paratus,0,0,0,0,0,1,0,0,0,0,0
Trinomys setosus,0,0,0,0,0,0,0,0,0,0,0
Trinomys yonenagae,0,0,0,0,0,0,0,0,0,0,0
Trinycteris nicefori,0,0,0,0,0,1,1,0,0,0,0
Uroderma bilobatum,0,0,0,1,0,1,0,0,0,0,1
Uroderma magnirostrum,0,0,0,1,0,1,0,0,0,0,0
Vampyressa pusilla,0,0,0,0,0,1,0,0,0,0,0
Vampyressa thyone,0,0,0,0,0,1,0,0,0,0,0
Vampyriscus bidens,0,0,0,0,0,1,0,0,0,0,0
Vampyriscus brocki,0,0,0,0,0,1,0,0,0,0,0
Vampyrodes caraccioli,0,0,0,1,0,1,0,0,0,0,0
Vampyrum spectrum,0,0,0,0,0,1,0,0,0,0,0
Wiedomys cerradensis,0,0,0,0,0,0,0,0,0,0,0
Wiedomys pyrrhorhinos,0,0,0,0,0,0,1,0,0,0,0
Wilfredomys oenax,0,0,0,0,0,1,0,0,0,0,0
Xeronycteris vieirai,0,0,0,1,0,0,0,0,0,0,0
Zygodontomys brevicauda,0,0,0,0,0,0,0,0,0,0,0
